name,description,url,tags
ChatGPT,"대화형 AI, 공감 능력 탁월하고 언변 좋음, 한국어 잘함",https://chat.openai.com,"글쓰기,이미지,개발,개세픽"
Claude,개발 잘하는 대화형 AI,https://claude.ai/,"글쓰기,개발,개세픽"
Grok,"일론 머스크의 xAI가 개발한 대화형 AI, 위트 있고 반항적인 답변으로 유명",https://grok.com,글쓰기
Gemini,"구글의 멀티모달 대화형 AI, 이전 Bard에서 브랜드 변경",https://gemini.google.com,"글쓰기,이미지,개발,개세픽"
DeepSeek,"중국 개발 오픈소스 AI, GPT-4급 성능을 무료로 제공",https://chat.deepseek.com,글쓰기
Qwen,"알리바바의 멀티기능 AI 채팅봇, 텍스트부터 영상 생성까지 올인원",https://qwenlm.github.io/,"글쓰기,이미지,영상"
Le Chat,Mistral AI의 대화형 AI 모델,https://chat.mistral.ai/,글쓰기
Copilot,"마이크로소프트의 AI 어시스턴트, GPT-4 기반으로 자연어 검색과 Office 통합 지원",https://copilot.microsoft.com,"글쓰기,검색,개발,개세픽"
Poe,"Quora의 AI 플랫폼, 여러 AI 모델을 한 곳에서 접근 가능",https://poe.com,"글쓰기,멀티모델"
Perplexity,실시간 웹 검색과 출처 제공이 가능한 AI 답변 엔진,https://www.perplexity.ai,검색
Felo,"다국어 검색과 번역이 강점인 AI 검색 엔진, 학술논문 검색 특화",https://felo.ai,"검색,학술"
Genspark,실시간으로 맞춤형 Sparkpages를 생성하는 AI 검색 엔진,https://www.genspark.ai,"검색,이미지,영상,번역"
Midjourney,"Discord 기반 최고급 AI 이미지 생성 툴, 예술적이고 사실적인 이미지 생성 특화",https://midjourney.com,"이미지,영상,개세픽"
Ideogram,"텍스트 렌더링과 디자인에 강한 AI 이미지 생성기, 2.0에서 사실성 대폭 개선",https://ideogram.ai,이미지
Flux,"Black Forest Labs의 오픈소스 AI 이미지 모델, 인물 표현과 프롬프트 준수도 뛰어남",https://huggingface.co/black-forest-labs/FLUX.1-dev,이미지
ImageFX,구글의 AI 이미지 생성 툴,https://aitestkitchen.withgoogle.com/tools/image-fx,이미지
Leonardo,상업용 이미지 생성에 특화된 AI 툴,https://leonardo.ai,이미지
Firefly,어도비의 크리에이티브 AI 이미지 생성 도구,https://firefly.adobe.com,이미지
Playground,사용자 친화적인 AI 이미지 생성 플랫폼,https://playground.com,이미지
Microsoft Designer,마이크로소프트의 AI 기반 디자인 툴,https://designer.microsoft.com,이미지
Krea,실시간 AI 이미지 생성 및 편집 도구,https://krea.ai,"이미지,영상"
Freepik,AI 기능이 통합된 디자인 리소스 플랫폼,https://freepik.com,디자인
Scenario,게임 아트 생성에 특화된 AI 이미지 도구,https://scenario.com,이미지
Magnific,AI 기반 이미지 업스케일링 도구,https://magnific.ai,이미지
Ratel,AI 이미지 생성 및 편집 도구,https://ratel.ai,이미지
AI Studio,구글의 AI 개발 스튜디오 및 이미지 생성,https://aistudio.google.com,"이미지,개발"
